INFO:root:calibrating voice
INFO:calibrating voice
2022-05-18 07:06:27,773:INFO:calibrating voice
INFO:2022-05-19 00:07:38,011:root: Requesting callback
INFO:2022-05-19 00:07:40,996:root: Executing command:set volume set volume
INFO:2022-05-19 00:07:42,949:root: Speaking
INFO:2022-05-19 00:07:45,886:root: Listening
INFO:2022-05-19 00:07:51,909:root: Requesting callback
INFO:2022-05-19 00:07:53,622:root: Executing command:20%
INFO:2022-05-19 00:07:53,665:root: Getting response
INFO:2022-05-19 00:07:54,042:root: Speaking
INFO:2022-05-19 00:07:56,990:root: Listening
INFO:2022-05-19 00:08:20,733:root: Requesting callback
INFO:2022-05-19 00:08:23,695:root: Executing command:set volume mac
INFO:2022-05-19 00:08:25,856:root: Speaking
INFO:2022-05-19 00:08:28,836:root: Listening
INFO:2022-05-19 00:11:16,150:root: Listening
INFO:2022-05-19 00:11:19,477:root: Requesting callback
INFO:2022-05-19 00:11:20,370:root: Executing command:hi mac
INFO:2022-05-19 00:11:20,463:root: Getting response
INFO:2022-05-19 00:11:21,079:root: Speaking
INFO:2022-05-19 00:11:24,139:root: Listening
INFO:2022-05-19 00:11:26,748:root: Requesting callback
INFO:2022-05-19 00:11:27,651:root: Executing command:set volume
INFO:2022-05-19 00:11:28,531:root: Speaking
INFO:2022-05-19 00:11:31,490:root: Listening
INFO:2022-05-19 00:11:36,214:root: Requesting callback
INFO:2022-05-19 00:11:37,119:root: Executing command:50%
INFO:2022-05-19 00:11:37,158:root: Getting response
INFO:2022-05-19 00:11:37,860:root: Speaking
INFO:2022-05-19 00:11:43,808:root: Listening
INFO:2022-05-19 00:11:55,455:root: Requesting callback
INFO:2022-05-19 00:11:57,176:root: Executing command:how are you doing today
INFO:2022-05-19 00:11:57,215:root: Getting response
INFO:2022-05-19 00:11:59,833:root: Speaking
INFO:2022-05-19 00:12:02,779:root: Listening
INFO:2022-05-19 00:12:04,831:root: Requesting callback
INFO:2022-05-19 00:21:12,313:root: Listening
INFO:2022-05-19 00:21:16,341:root: Requesting callback
INFO:2022-05-19 00:21:20,615:root: Requesting callback
INFO:2022-05-19 00:21:28,372:root: Requesting callback
INFO:2022-05-19 00:24:36,357:root: Listening
INFO:2022-05-19 00:24:38,922:root: Requesting callback
INFO:2022-05-19 00:24:45,586:root: Requesting callback
INFO:2022-05-19 00:25:43,929:root: Listening
INFO:2022-05-19 00:25:47,492:root: Requesting callback
INFO:2022-05-19 00:25:51,136:root: Requesting callback
INFO:2022-05-19 00:25:55,967:root: Requesting callback
INFO:2022-05-19 00:25:57,287:root: Executing command:hello
INFO:2022-05-19 00:25:57,391:root: Getting response
INFO:2022-05-19 00:25:58,798:root: Speaking
INFO:2022-05-19 00:26:01,836:root: Listening
INFO:2022-05-19 00:26:04,755:root: Requesting callback
INFO:2022-05-19 00:26:08,123:root: Requesting callback
INFO:2022-05-19 00:26:11,044:root: Requesting callback
INFO:2022-05-19 00:26:13,972:root: Requesting callback
INFO:2022-05-19 00:26:15,193:root: Executing command:haider
INFO:2022-05-19 00:26:15,232:root: Getting response
INFO:2022-05-19 00:26:22,648:root: Speaking
INFO:2022-05-19 00:26:25,619:root: Listening
INFO:2022-05-19 00:26:40,492:root: Requesting callback
INFO:2022-05-19 00:26:42,497:root: Executing command:set volume
INFO:2022-05-19 23:33:19,922:root: Listening
INFO:2022-05-19 23:34:01,109:root: Requesting callback
INFO:2022-05-19 23:34:30,081:root: Listening
INFO:2022-05-19 23:34:37,933:root: Requesting callback
INFO:2022-05-19 23:34:41,259:root: Requesting callback
INFO:2022-05-19 23:35:09,674:root: Requesting callback
INFO:2022-05-24 02:07:45,880:root: Listening
INFO:2022-05-24 02:07:49,467:root: Requesting callback
INFO:2022-05-24 02:07:51,502:root: Executing command:hai
INFO:2022-05-24 02:07:51,597:root: Getting response
INFO:2022-05-24 02:07:56,660:root: Speaking
INFO:2022-05-24 02:07:59,705:root: Listening
INFO:2022-05-24 02:08:04,198:root: Requesting callback
INFO:2022-05-24 02:08:06,029:root: Executing command:tell me a joke
INFO:2022-05-24 02:08:09,711:root: Speaking
INFO:2022-05-24 02:08:21,690:root: Listening
INFO:2022-05-24 02:08:29,661:root: Requesting callback
INFO:2022-05-24 02:08:39,648:root: Requesting callback
INFO:2022-05-24 02:08:44,383:root: Requesting callback
INFO:2022-05-24 02:08:47,215:root: Requesting callback
INFO:2022-05-24 02:09:00,869:root: Requesting callback
INFO:2022-05-24 02:09:03,873:root: Executing command:what's the time
INFO:2022-05-24 02:09:10,669:root: Speaking
INFO:2022-05-24 02:09:16,650:root: Listening
INFO:2022-05-24 02:09:22,931:root: Requesting callback
INFO:2022-05-24 02:09:25,794:root: Executing command:set volume
INFO:2022-05-24 02:11:34,783:root: Listening
INFO:2022-05-24 02:11:37,931:root: Requesting callback
INFO:2022-05-24 02:11:39,706:root: Executing command:set volume
INFO:2022-05-24 02:11:40,580:root: Requesting callback
INFO:2022-05-24 02:58:46,376:root: Listening
INFO:2022-05-24 02:58:48,616:root: Requesting callback
INFO:2022-05-24 02:58:49,833:root: Executing command:hai
INFO:2022-05-24 02:58:49,933:root: Getting response
INFO:2022-05-24 02:58:50,774:root: Speaking
INFO:2022-05-24 02:58:53,814:root: Listening
INFO:2022-05-24 02:58:57,424:root: Requesting callback
INFO:2022-05-24 02:58:59,074:root: Executing command:how are you doing today
INFO:2022-05-24 02:58:59,111:root: Getting response
INFO:2022-05-24 02:59:00,719:root: Speaking
INFO:2022-05-24 02:59:03,700:root: Listening
INFO:2022-05-24 02:59:09,217:root: Requesting callback
INFO:2022-05-24 02:59:11,053:root: Executing command:tell me a joke
INFO:2022-05-24 02:59:12,674:root: Speaking
INFO:2022-05-24 02:59:21,639:root: Listening
INFO:2022-05-24 03:00:27,033:root: Listening
INFO:2022-05-24 03:00:29,088:root: Requesting callback
INFO:2022-05-24 03:00:34,030:root: Requesting callback
INFO:2022-05-24 03:00:41,250:root: Requesting callback
INFO:2022-05-24 03:00:43,418:root: Executing command:imac
INFO:2022-05-24 03:00:43,511:root: Getting response
INFO:2022-05-24 03:00:44,477:root: Speaking
INFO:2022-05-24 03:00:47,518:root: Listening
INFO:2022-05-24 03:00:58,750:root: Requesting callback
INFO:2022-05-24 03:01:15,469:root: Requesting callback
INFO:2022-05-24 03:02:09,539:root: Listening
INFO:2022-05-24 03:02:15,214:root: Requesting callback
INFO:2022-05-24 03:02:17,421:root: Executing command:a quick brown fox jumped over the lazy dog
INFO:2022-05-24 03:02:21,525:root: Speaking
INFO:2022-05-24 03:02:24,565:root: Listening
INFO:2022-05-24 03:02:26,572:root: Requesting callback
INFO:2022-05-24 03:02:35,422:root: Requesting callback
INFO:2022-05-24 03:04:33,267:root: Listening
INFO:2022-05-24 03:04:43,495:root: Requesting callback
INFO:2022-05-24 03:04:45,798:root: Executing command:hai
INFO:2022-05-24 03:04:45,897:root: Getting response
